company_name,cik,s1_url,s1_filing_date,summary_snippet,classification,ipo_date,ticker,founding_year,ipo_year,sic,sic_description,ipo_date_source,reason
Kiniksa Pharmaceuticals LTD,0001730430,https://www.sec.gov/Archives/edgar/data/1730430/000104746918003293/a2235339zs-1.htm,4/27/2018,"We are a clinical-stage biopharmaceutical company focused on discovering, acquiring, developing and commercializing therapeutic medicines for
patients suffering from debilitating diseases with significant unmet medical need. We have a pipeline of product candidates across various stages of development, currently focused on autoinflammatory
and autoimmune conditions. We have three clinical-stage product candidates, one of which is anticipated to commence a Phase 3 clinical trial in 2018. We follow a disciplined and methodical
approach to selectively identify and acquire product candidates with strong biologic rationales or validated mechanisms of action. We believe that each of our product candidates has the potential to
address multiple indications. efforts
for mavrilimumab on giant cell arteritis, or GCA, an inflammatory disease of the blood vessels with unmet medical need that can lead to blindness if left untreated. MedImmune Limited, or
MedImmune, initially developed mavrilimumab for the treatment of rheumatoid arthritis, or RA.
MedImmune's Investigational New Drug application, or IND, for the clinical development of mavrilimumab for the treatment of RA was initially put on clinical hold in 2010 before human data had been
generated due to certain effects that were observed in non-clinical studies, which coincides with a theoretical risk of developing pulmonary alveolar proteinosis, or PAP, possibly in the setting of
GM-CSF inhibition. Since then, in 2014, the FDA acknowledged that clinical studies in refractory RA may be appropriate based on MedImmune's clinical studies in Europe in which it dosed over 550 RA
patients with mavrilimumab and generated an aggregate of over 900 patient years of exposure with no evidence of PAP. Patient years of exposure is a statistical measure of cumulative drug exposure and
reflects the total number of years that the RA patients in these studies were treated with mavrilimumab in the aggregate. MedImmune has since withdrawn the IND for mavrilimumab for the treatment of
RA. We intend to develop mavrilimumab for the treatment of GCA under a new IND in the United States and new Clinical Trial Application, or CTA, in Europe, and plan to initiate a Phase 2
clinical trial in 2018.",THERAPEUTICS,2018-05-24,KNSA,2015.0,2018.0,2834.0,Pharmaceutical Preparations,ritter_verified,
Genprex,0001595248,https://www.sec.gov/Archives/edgar/data/1595248/000118518517001576/genprex-s1.htm,7/21/2017,"Prior to this offering, there has been no public market for our common stock. It is currently estimated that the initial public offering price per share will be between $           and $          . We have applied to list the common stock on the Nasdaq Capital Market under the symbol “GNPX”. If the application is approved, trading of our common stock on the Nasdaq Capital Market is expected to begin within five days after the initial issuance of the common stock. If our common stock is not approved for listing on the Nasdaq Capital Market, we will not consummate this offering. (2) We estimate the total expenses of this offering, excluding the underwriting commissions, will be approximately $                    if all shares are sold in this offering. Because this is a best efforts offering, the actual public offering amount, underwriting commissions and proceeds to us are not presently determinable and may be substantially less than the total maximum offering set forth above.",THERAPEUTICS,2018-03-29,GNPX,2009.0,2018.0,2834.0,Pharmaceutical Preparations,ritter_verified,
Arcus Biosciences Inc,0001724521,https://www.sec.gov/Archives/edgar/data/1724521/000119312518048700/d317356ds1.htm,2/16/2018,"We are a clinical-stage biopharmaceutical company focused on creating innovative cancer immunotherapies by leveraging underexploited
biological opportunities. Specifically, we target well-characterized biological pathways with significant scientific data supporting their importance in regulating the immune response against cancer and for which either there are no molecules in
development or those that exist have suboptimal profiles. To exploit these pathways, we have built a robust and highly efficient discovery capability to create and optimize highly differentiated small-molecule immuno-oncology product candidates.
Since our inception in 2015, we have built a broad portfolio of small-molecule and antibody product candidates that we plan to develop together as intra-portfolio combinations. We have initiated clinical trials for our two most advanced product
candidates, both of which are expected to generate data in 2018, and we expect clinical data from our first intra-portfolio combinations in the first half of 2019. We plan to advance two additional product candidates into clinical trials by the end
of 2018. Members of the Arcus team have worked together for more than 10 years discovering innovative small-molecule product candidates while at companies such as Tularik Inc., Amgen, Inc. and Flexus Biosciences, Inc. Our initial focus is on the ATP-adenosine pathway, a key driver of immunosuppression in the tumor microenvironment.
Decades of scientific research have demonstrated that extracellular adenosine, generated by the CD73 enzyme, acts as a powerful inhibitor of immune cell activity. The compelling therapeutic rationale for inhibition of the ATP-adenosine pathway has led several companies to repurpose for oncology existing adenosine A 2a R receptor antagonists that were originally designed for the
treatment of central nervous system indications. We believe our lead product candidate, AB928, which we designed using our small-molecule discovery capability, is the first adenosine receptor antagonist that effectively blocks the adenosine receptor
in the tumor microenvironment and potently inhibits both the adenosine 2a receptor (A 2a R) and the adenosine 2b receptor (A 2b R). Our in
vitro studies have demonstrated that AB928 reverses adenosine-induced immunosuppression and inhibits the A 2a R and A 2b R receptors more
potently and effectively than the other adenosine receptor antagonists in clinical development. In addition to AB928, we have created a sma",THERAPEUTICS,2018-03-15,RCUS,2015.0,2018.0,2834.0,Pharmaceutical Preparations,ritter_verified,
Bioxcel Therapeutics Inc,0001720893,https://www.sec.gov/Archives/edgar/data/1720893/000104746918000756/a2234454zs-1.htm,2/12/2018,"We are a clinical stage biopharmaceutical company focused on drug development that utilizes novel artificial intelligence, or AI, to identify
the next wave of medicines across neuroscience and immuno-oncology. Our drug re-innovation approach leverages existing approved drugs and/or clinically validated product candidates together with big
data and proprietary machine learning algorithms to identify new therapeutic indices. We believe that this differentiated approach has the potential to reduce the cost and time of drug development in
diseases with substantial unmet medical need. Our two most advanced clinical development programs are BXCL501, a sublingual thin film formulation of dexmedetomidine, or Dex, designed for acute
treatment of agitation resulting from neurological and psychiatric disorders, and BXCL701, an immuno-oncology agent designed for treatment of a rare form of prostate cancer and for treatment of
pancreatic cancer. We initiated a Phase 1b pharmacokinetic/pharmacodynamic, or PK/PD, safety study using the IV formulation of Dex in mild probable Alzheimer's Disease, or AD, in December 2017
and we plan to initiate a Phase 1b PK/PD safety study using the IV formulation of Dex in schizophrenia patients in the first half of 2018. We expect to report data from both studies by the
second half of 2018. We also intend to commence Phase 2 proof of concept, or PoC, open label clinical trials in 2018 for both programs. We expect that a data readout from the planned
Phase 2 PoC clinical trials for the BXCL501 program will be available by the end of 2018, potentially leading to the start of registration trials, and that preliminary data from the planned
Phase 2 PoC clinical trial of BXCL701 will be available in the first half of 2019. We retain global development and commercialization rights to these two programs. We
were formed to develop first-in-class, high value therapeutics by leveraging EvolverAI, a research and development engine created and owned by our parent, BioXcel Corporation, or
BioXcel. We believe the combination of our therapeutic area expertise and our ability to generate product candidates through our exclusive collaborative relationship with BioXcel in the areas of
neuroscience and immuno-oncology gives us a significant competitive advantage. EvolverAI was developed over the last decade and integrates millions of fragmented data points using artificial
intelligence and proprietary machine learning algorithms. After evaluating multiple p",THERAPEUTICS,2018-03-08,BTAI,2017.0,2018.0,2834.0,Pharmaceutical Preparations,ritter_verified,
Evolus Inc,0001570562,https://www.sec.gov/Archives/edgar/data/1570562/000157056218000008/evoluss-1.htm,1/9/2018,"We are offering           shares of our common stock. This is our initial public offering and no public market currently exists for our common stock. We expect the initial public offering price to be between $       and $         per share. We have applied to list our common stock on the Nasdaq Global Market, or Nasdaq, under the symbol “EOLS.” Upon completion of this offering, our parent company, ALPHAEON Corporation, or ALPHAEON, will own            shares of our outstanding common stock, representing approximately        % of the total voting power of our outstanding common stock (or approximately        % of the total voting power of our outstanding common stock, if the underwriters exercise in full their option to purchase additional shares of our common stock in this offering). As a result of ALPHAEON’s ownership of our common stock following this offering, we will be a “controlled company” under the listing requirements of Nasdaq, or the Nasdaq Marketplace Rules, and expect to take advantage of the “controlled company” exemptions under the Nasdaq Marketplace Rules. See “Management—Controlled Company.”",THERAPEUTICS,2018-02-08,EOLS,2012.0,2018.0,2834.0,Pharmaceutical Preparations,ritter_verified,
Sol-Gel Technologies Ltd,0001684693,,,"EXTRACTION FAILED, open s1_url directly",THERAPEUTICS,2018-02-01,SLGL,1997.0,2018.0,2834.0,Pharmaceutical Preparations,ritter_verified,
Solid Biosciences LLC,0001707502,https://www.sec.gov/Archives/edgar/data/1707502/000119312517383428/d404258ds1.htm,12/29/2017,"Our mission is to cure Duchenne
muscular dystrophy, or DMD, a genetic muscle-wasting disease predominantly affecting boys, with symptoms that usually manifest between three and five years of age. DMD is a progressive, irreversible and ultimately fatal disease that affects
approximately one in every 3,500 to 5,000 live male births and has an estimated prevalence of 10,000 to 15,000 cases in the United States alone. DMD is caused by mutations in the dystrophin gene, which result in the absence or near-absence of
dystrophin protein. Dystrophin protein works to strengthen muscle fibers and protect them from daily wear and tear. Without functioning dystrophin and certain associated proteins, muscles suffer excessive damage from normal daily activities and
are unable to regenerate, leading to the build-up of fibrotic, or scar, and fat tissue. There is no cure for DMD and, for the vast majority of patients, there are no satisfactory symptomatic or
disease-modifying treatments. Our lead product candidate, SGT-001, is a gene transfer under development to restore functional dystrophin protein expression in patients’ muscles. Based on our preclinical
program that included multiple animal species of different phenotypes and genetic variations, we believe the mechanism of action of SGT-001, if our clinical trials prove to be successful, has the potential to slow or even halt the progression of
DMD, regardless of the type of genetic mutation or stage of the disease. SGT-001 has been granted
Rare Pediatric Disease Designation, or RPDD, in the United States and Orphan Drug Designations in both the United States and European Union. The safety and efficacy of SGT-001 are currently being evaluated in a Phase I/II clinical trial.",THERAPEUTICS,2018-01-26,SLDB,2013.0,2018.0,2836.0,"Biological Products, (No Diagnostic Substances)",ritter_verified,
Cue Biopharma Inc,0001645460,https://www.sec.gov/Archives/edgar/data/1645460/000114420417048994/v475194_s1.htm,9/21/2017,"This is an initial public offering of our common
stock.  We expect the public offering price to be between $6.00 and $8.00 per share.  There is presently no
public market for our common stock.  We intend to apply to list our common stock on the Nasdaq Capital Market under the
symbol “CUE,” which listing we expect to occur upon consummation of this offering. We are an innovative biopharmaceutical company
developing a novel and proprietary class of biologic drugs for the selective modulation of the human immune system to treat a broad
range of cancers and autoimmune disorders. While currently in preclinical development, we believe our CUE Biologics™ platform
provides a potentially transformative solution to the challenges facing prevailing immunotherapeutics. By directly engaging and
modulating disease relevant T cells in the patient’s body, we believe our biologic drug candidates will be able to realize
the true potential of immune modulation. Through our proprietary CUE Biologics™ platform, we believe we are uniquely positioned
to become a prominent and leading player in immuno-oncology, immunotherapy and autoimmune disease. Our proprietary platform is
intended to allow us to efficiently design and develop drug candidates that specifically and selectively engage and modulate disease
relevant T cells, providing therapeutic advantages while minimizing or eliminating the unwanted side effects. We have been aggressively
seeking patent protection for our pioneering innovations and, combined with a license agreement with the Albert Einstein College
of Medicine (“Einstein”), continue to build a robust intellectual property portfolio. This portfolio includes our core
technology platform for the engineering of biologics to selectively control T cell activity, which we call CUE Biologics™,
a growing portfolio of precision immuno-modulatory drug candidates, and two supporting technologies we call MOD ä and viraTope ä that enable the discovery of costimulatory signaling molecules (ligands)
and T cell targeting peptides, respectively.",THERAPEUTICS,2018-01-02,CUE,2014.0,2018.0,2834.0,Pharmaceutical Preparations,ritter_verified,
Denali Therapeutics Inc,0001714899,https://www.sec.gov/Archives/edgar/data/1714899/000119312517340997/d445892ds1.htm,11/13/2017,"Neurodegeneration represents one of the most significant unmet medical needs of our time, with few effective therapeutic options available for patients
with Alzheimer’s disease, Parkinson’s disease, amyotrophic lateral sclerosis, or ALS, and other neurodegenerative diseases. We believe the time is right to make a strong and ambitious effort to defeat neurodegeneration. Recent genetic
insights are revealing the underlying biology of neurodegeneration and potential drug targets while enabling better patient selection, similar to how genetic insights have transformed the field of oncology. Identifying and selecting targets based on
validated genetic drivers of neurodegeneration is a core principle of our strategy. The second core principle of our strategy is to develop medicines that effectively cross the blood-brain barrier, or BBB, and target the brain. We have engineered a
proprietary BBB platform technology that we believe will enable therapeutically relevant concentrations of our product candidates in the brain. The third core principle of our strategy is to develop and use biomarkers for better patient selection
and demonstration of target and pathway engagement of our product candidates. By executing this strategy with a team of experienced and passionately dedicated scientists and drug developers, we believe we can succeed in a field that has seen limited
progress over the past several decades. We commenced operations in May 2015 and recently began our first clinical trials. We have assembled a team with deep scientific, clinical, business and leadership experience and expertise in biotechnology, and specifically in
neurodegenerative diseases, who worked together at Genentech for many years prior to the founding of Denali. Our Co-Founder and Chief Executive Officer, Ryan J. Watts, Ph.D., is a world-leading drug developer and neuroscientist, with particular
expertise in BBB therapeutic delivery. Dr. Watts most recently led the neuroscience research team at Genentech and has led multiple discovery teams, including programs in Alzheimer’s disease, Parkinson’s disease and ALS. Our
Co-Founder and Chief Operating Officer, Alexander O. Schuth, M.D., held various operational and leadership roles at Genentech for nearly ten years, including leading the partnering groups for neuroscience as well as technology innovation and
diagnostics. Dr. Schuth has led more than 35 partnering transactions and a clinical stage development program. Our Co-Founder and director,",THERAPEUTICS,2017-12-08,DNLI,2015.0,2017.0,2836.0,"Biological Products, (No Diagnostic Substances)",ritter_verified,
InflaRx NV (Fireman BV?),0001708688,,,"EXTRACTION FAILED, open s1_url directly",THERAPEUTICS,2017-11-08,IFRX,2007.0,2017.0,2834.0,Pharmaceutical Preparations,ritter_verified,
