company_name,cik,exit_reason,bankruptcy_date,merger_date,delisting_notice_date,acquisition_completion_date,exit_subtype,evidence_note,original_exit_reason
AMBRX INC,0001264647,unclear,,,,,,,
"EAGLE PHARMACEUTICALS, INC.",0000827871,acquisition,,,2023-11-29,2022-08-09,,,
"NephroGenex, Inc.",0001338095,bankruptcy,2016-05-02,,,,,,
NGM BIOPHARMACEUTICALS INC,0001426332,acquisition,,2024-03-08,,,,,
"CHIASMA, INC",0001339469,acquisition,,2021-07-02,,,,,
"Vitae Pharmaceuticals, Inc",0001157602,acquisition,,2016-09-26,,,,,
CHIMERIX INC,0001117480,acquisition,,2025-03-21,,,,,
Achaogen Inc,0001301501,bankruptcy,2019-04-15,,,,,,
Evoke Pharma Inc,0001403708,acquisition,,2025-11-17,,,,,
PARATEK PHARMACEUTICALS INC,0001037643,unclear,,,,,,,
CONSTELLATION PHARMACEUTICALS INC,0001434418,acquisition,,2021-06-16,,,,,
AGILE THERAPEUTICS INC,0001261249,acquisition,,2024-07-25,,,,,
Ophthotech Corp.,0001410939,failure,,2023-06-05,,,rebrand_pivot,"Fovista failed 2 pivotal Phase 3 trials, Dec 2016 (90% stock drop). Original program abandoned; rebuilt around a different drug (Zimura) under a new name, Iveric bio. Original entity and program: failure. Note: the rebuilt entity later succeeded and was acquired by Astellas (2023) under a different drug and identity, worth a judgment call on how to treat this specific case.",acquisition
Relypsa Inc,0001416792,acquisition,,2016-08-04,,,,,
ANTERIOS INC,0001390085,unclear,,,,,,,
ProNAi Therapeutics Inc,0001290149,failure,,2022-05-16,,,rebrand_pivot,"PNT2258 showed only modest efficacy in Phase 2 (Wolverine trial, 2016). Company explicitly dropped both the drug and the entire underlying DNAi platform, closed its research facility. Stock lost 70% overnight; securities fraud suit followed. Rebranded Sierra Oncology (2017) around entirely licensed-in assets.",acquisition
ALDER BIOPHARMACEUTICALS INC,0001423824,acquisition,,2019-09-23,,,,,
"BELLICUM PHARMACEUTICALS, INC",0001358403,acquisition,,,2020-05-01,2024-02-21,,,
MARINUS PHARMACEUTICALS INC,0001267813,acquisition,,2025-01-08,,,,,
OncoMed Pharmaceuticals Inc,0001302573,acquisition,,2019-03-20,,,,,
APPLIED GENETIC TECHNOLOGIES CORP,0001273636,acquisition,,2022-10-26,,,,,
Adamas Pharmaceuticals Inc,0001328143,acquisition,,2021-10-12,,,,,
PLX PHARMA INC.,0001291520,unclear,,,,,,,
Flexion Therapeutics Inc,0001419600,acquisition,,2021-10-22,,,,,
Tocagen Inc,1419041,failure,,,,,reverse_merger,"Toca 511/Toca FC missed Phase 3 primary endpoint (Toca 5 trial, 2019). 65% layoffs. Reverse merged into Forte Biosciences, shareholders left with ~26%.",actively_filing
"Frequency Therapeutics, Inc.",1703647,failure,,,,,reverse_merger,"FX-322 missed Phase IIb primary endpoint; FX-345 and MS program also discontinued. Reverse merged into Korro Bio, shareholders left with 8%.",actively_filing
"AVROBIO, Inc.",1681087,failure,,,,,reverse_merger,"Halted all remaining gene therapy programs (2023), sold sole viable asset to Novartis for cash. Reverse merged into Tectonic Therapeutic, shareholders left with ~23-25%.",actively_filing
GLYCOMIMETICS INC,1253689,failure,,,,,reverse_merger,Uproleselan failed 2 separate Phase 3 trials (2024). Rivipansel sold for $1.2M. Own 10-K: 'we do not currently intend to continue development.' Shareholders left with 3.1%.,actively_filing
"PROTEOSTASIS THERAPEUTICS, INC.",1445283,failure,,,,,reverse_merger,"CF drugs uncompetitive vs Vertex, 79% workforce cut. Reverse merged into Yumanity (2020, all CF drugs sold off), Yumanity's own drug then also failed, merged again into Kineta (2022).",actively_filing
"Homology Medicines, Inc.",1661998,failure,,,,,reverse_merger,Gene therapy hit FDA hold (liver risk signals); gene editing program for PKU discontinued citing financing environment despite promising data. 87% headcount cut. Reverse merged into Q32 Bio.,actively_filing
Angion Biomedica Corp.,1601485,failure,,,,,reverse_merger,"ANG-3777 Phase 3 didn't support approval; ANG-3070 Phase 2 terminated for patient safety. Reverse merged into Elicio Therapeutics, shareholders left with 34.8%.",actively_filing
"AQUINOX PHARMACEUTICALS, INC",1404644,failure,,,,,reverse_merger,"Rosiptor failed Phase 3 LEADERSHIP 301 (2018), stock fell 80-85%. Reverse merged into Neoleukin, which itself later merged into Neurogene, three identities under one shell.",actively_filing
"Ruthigen, Inc.",1574235,failure,,,,,reverse_merger,"RUT58-60 (sole candidate) abandoned. Fierce Biotech: deal signals 'the end of the line' for RUT58-60. Reverse merged into Pulmatrix, shareholders left with 19%.",actively_filing
"NANOANTIBIOTICS, INC.",1580149,failure,,,,,program_discontinued,"Original nanotechnology antibiotics program went inactive, unable to secure licensing deals. Acquired LAT Pharma (liver disease asset), became BioVie. Non-dilutive structure (share count preserved), softer confidence than typical reverse-merger cases.",actively_filing
"Sun BioPharma, Inc.",1029125,failure,,,,,zombie,"Same drug program (SBP-101/ivospemin) continued under renames (Panbela Therapeutics), no abandonment or new owner. As of 2026: $0.01/share, $53,400 market cap, practically worthless without formal bankruptcy.",actively_filing
"ZAFGEN, INC.",1374690,failure,,,,,reverse_merger,"Beloranib caused 2 patient deaths in Phase 3 (bestPWS trial), FDA partial clinical hold, drug discontinued on safety grounds. Reverse merged, became Larimar Therapeutics.",actively_filing
